Name,Reviews,Date,Ratings
Naman Surin,"Should try shawarma either veg or non veg, both are really good, also has a range of variety of pizza's, biryaani, pakoda's and many other things to eat",2 weeks ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Md Sahidullah,"You will have unique Biriyani of ""India"" in this small jhups. They prepare Biriyani in Hyderabadi style which is not common here in Bengal. I used to visit this place only for Biriyani. I have tried other items such as …MoreYou will have unique Biriyani of ""India"" in this small jhups. They prepare Biriyani in Hyderabadi style which is not common here in Bengal. I used to visit this place only for Biriyani. I have tried other items such as Sawarma, Chicken Drumstick, Pizza but those are of average quality.The restaurant is located very close to drain and dustbin which make the environment unhygienic.",2 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Lavisha Parab,They serve superawesome biryani. Their biryani with mayo is just so tasty. I'd never thought Biryani with mayo would taste great.,6 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Ramanarayan Mohanty,Food is good and cheap. Specially chicken swarma is very good and tasty.,5 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
sanjay reddy,"Arguably the best Pizzas, shawarmas, mayonnaise available in kgp. Decent price ranges. Delivery within 30 minutes.",8 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
vignesh shaj,Definitely the only outlet which serves Arabian dishes. Tasty shawarma and quick delivery.,7 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Jeet Majumder,"It's a small shop but serves good quality food. For only 60 rupees, you can have Shawarma Roll and it is yummy, most importantly. Biryani is also tasty.",10 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Rohit Kishan Ray,"Fast biriyani, cheap and tasty.",2 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Karthik,"Biryani , pizza and shawarma are the best",5 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Mohammad Jamil Akhtar Ansari,The first restaurant to start Pizza and Garlic Bread and the only restaurant to serve Shawarma. The first to deliver food in the IIT Kharagpur campus. Popular among the students. Operating since 2010.,a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
pappu akhatar,Biryani lebnis shawrma italian pizza cheken lolipop drum stks pakoda,3 years ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Sourav Mukhopadhyay,Not good,5 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 2.0 out of 5,""><span style=""width:28px""></span></span>"
Chirag Patil,Not good for veg,8 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 1.0 out of 5,""><span style=""width:14px""></span></span>"
Suman Rana,Best food restaurant,a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
barun bera,Nice restaurant,a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Bhavya Tomar,Chicken shwarma is a must try,a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Yash Nachrani,Shawarmas are worth trying,3 years ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 3.0 out of 5,""><span style=""width:42px""></span></span>"
