Name,Reviews,Date,Ratings
Samin Ali Mondal,Good service. Friendly behaviors. :)Food quality above average and quantity is enough for two peoples. You will get large variety of food available here. …MoreGood service. Friendly behaviors. :)Food quality above average and quantity is enough for two peoples. You will get large variety of food available here.We had spent a great time.. You should try beriany here. Strongly recommended.,a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Mohammad Asif,One of the best place to have quality and delicious food.. The new feature of online ordering is amazing.. Try it to appreciate it.,in the last week,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Piu Hui,Nice place.but they served wasted food many times. Little bit spicy.. Pocket friendly.,2 weeks ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 3.0 out of 5,""><span style=""width:42px""></span></span>"
Samin Ali Mondal,Good service. Friendly behaviors. :)Food quality above average and quantity is enough for two peoples. You will get large variety of food available here. …MoreGood service. Friendly behaviors. :)Food quality above average and quantity is enough for two peoples. You will get large variety of food available here.We had spent a great time.. You should try beriany here. Strongly recommended.,a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Mohammad Asif,One of the best place to have quality and delicious food.. The new feature of online ordering is amazing.. Try it to appreciate it.,in the last week,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Piu Hui,Nice place.but they served wasted food many times. Little bit spicy.. Pocket friendly.,2 weeks ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 3.0 out of 5,""><span style=""width:42px""></span></span>"
Avinandan Bhakta,"Average food quality... But now it is not as much good as it was earlier. But you can visit here for all types of chicken, tandoori etc items... Hope the taste will not disappoint you too much!!",a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
sanjan Banerjee,Biriyani is of moderate quality but price is a bit high. Overall other foods like tandoori is good.,a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
TUHIN KUMAR GHOSH,One of the best restaurant for biriyani in Midnapore and Kharagpur are. It is a walking distance from Kharagpur railway station. Quality of food is very good.,a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Phanindra Babu Narra,"when u ask for chicken biryani.they give you aloo biryani with 3 big aloos and 2 chicken pieces..better cal it as aloo biryani.. taste wise simple to say ""Bakwaas"". its just kgp ppl dont have a good option hence they are relying on this …Morewhen u ask for chicken biryani.they give you aloo biryani with 3 big aloos and 2 chicken pieces..better cal it as aloo biryani.. taste wise simple to say ""Bakwaas"". its just kgp ppl dont have a good option hence they are relying on this restaurant. quality wise they use ration quota rice in biryani..most pathetic food u get.. my suggestion walk 1 km to railway station and u order chic biryani which is far better option.",2 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 1.0 out of 5,""><span style=""width:14px""></span></span>"
Manoj Ghosh,"I love the most,as well as their behaviour....",a week ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Soumyajit Mitra,As per taste prices are high..,a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 3.0 out of 5,""><span style=""width:42px""></span></span>"
Annu Srivastava,Best non-veg restaurant in Kharagpur. Tangri kabab and chicken tikka is awesome so grab it all............,3 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Anirban Mukherjee,Tasty but not spicy foods,in the last week,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
