Name,Reviews,Date,Ratings
Kumar Sparsh,Must try their garlic bread and don't forget to try that heavenly topping !Pizzas are okay from a pre made base pizza base standards. not too great.,11 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Ayan Mondal,The pizza is good,a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Abhishek Padmasale,"Not a great choice of pizzas available. However, the quality of toppings is good. It's OK for a quick bite.",a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 3.0 out of 5,""><span style=""width:42px""></span></span>"
lake ashok raja patrudu,tasty and quick bite,2 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Himanshu,"Pizza , garlic bread",a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 3.0 out of 5,""><span style=""width:42px""></span></span>"
Chirag Patil,Decent but not worth going again,8 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 2.0 out of 5,""><span style=""width:28px""></span></span>"
Saikat Karmakar,Best pizza centre in kharagpur.,9 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Satya Prakash Dash,"Value for money, excellent topping in such a less amount of money",a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Gopi Prashanth Ramineni,Cheap and also tastes good,7 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Nandish Jolad,Good for garlic bread...value for money.,a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 3.0 out of 5,""><span style=""width:42px""></span></span>"
Chandrajeet Pratap Singh,Nice pizza...,7 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
sreeraj sana,Garlic bread <3,a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Mohammad Jamil Akhtar Ansari,Superbly amazing...,a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
