Name,Reviews,Date,Ratings
Lavisha Parab,Good for parties. I've heard the hookah here is good. The dance floor is nice and wide and people can dance till they drop! The cheese cherry pineapple is an all time favourite starter.,a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Arindam Dey,One of the best restaurant in KHARAGPUR to hangout with friends. They have dancing floor to enjoy yourself. Food quality is also good. It's good idea to celebrate parties here if you aren't a alcohol lover.,a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Vishal Gupta,Nice place to hangout with friends enjoying flavoured hookah (without tobacco). You can also dance on the beats.. thats the best thing. If you are going with family sure you can go to non smoking zone but for sure after hearing sound from other side. You will get a bit disturbed.,3 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Arindam Chakraborty,"Ambience is good. Spacious. Clean. Service staffs are not professional but eager to do better. The quality of the food ingredients are not standard in comparison with priced …MoreAmbience is good. Spacious. Clean. Service staffs are not professional but eager to do better. The quality of the food ingredients are not standard in comparison with priced charged for.And the preparation of the food is poor standard if I compare with its price.Simply, the quality, quantity, standard and preparation of the food needs more and more rectification.",4 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 1.0 out of 5,""><span style=""width:14px""></span></span>"
Rajashree Prajapati,Worst food ever. They  serve good food in festivals only. In normal days they are worst in taste. And service is also not good. The servants constantly stares at you at the time of eating. Their food is such disgusting that will make you stomach upset I suggest not to visit there if you want a good health,3 weeks ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 1.0 out of 5,""><span style=""width:14px""></span></span>"
Vishal Sharma,srishti di ne bola 3 star dene ko,in the last week,"<span class=""_pxg _Jxg"" aria-label=""Rated 3.0 out of 5,""><span style=""width:42px""></span></span>"
Sailik Sen,The best pocket friendly restaurant in Kharagpur. It also have a hookah station with it. The food tastes very good and its very affordable,a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Amjad Kureshi,This place i called a Luxurious restaurant in Kharagpur because this place is quite elegant in comparison to other restaurants situated on Inda-Midnapore road. The restaurant also provides hookah facility (which is separate part of the …MoreThis place i called a Luxurious restaurant in Kharagpur because this place is quite elegant in comparison to other restaurants situated on Inda-Midnapore road. The restaurant also provides hookah facility (which is separate part of the restaurants). In food dishes we can find varieties in Chinies/Punjabi/Bengali. The seating arrangement is gòod and the staff behaviour is also good. Weak point : Food delivery take time.,2 weeks ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
rubayet r,"If you want to try quality food visit this place.every dish is delicious.you can try chiken tikka masal,mutton rogan josh,mushroom masala especially. Hookka bar is available after6 p.m. . Decoration is good and environment is very peaceful.",a week ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Nilay Sarkar,Good quality food  & staffs are also good. Owners  behaviour is amazing .,in the last week,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Maya Sharma,"Awesome place to get delicious food and to enjoy  best moments with friends....Everything here is like wahh!! kya baat hai...Whenever I go to kharagpur,  I'll prefer to have food here only.....",3 weeks ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
J D,relatively less expensive restaurant in Kharagpur area. veg and non veg both items are available. Food quality is relatively good and testy. no bar facilities are there. popular for family-friendly. they also provide hall room facilities for birthday party or group Party with DJ.,3 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Debapriya Mahato,Chinese food is extremely good. Stat by crispy chicken.Best main course may be garlic chicken and chilli chicken.,a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Vivek Gupta,"Service is good with quality food, also have parking area",a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Nibedita Dutta,"This is one of the most happening places of Kharagpur. Even though the food quality is average here, the ambience makes it quite an amazing place to party. The restaurant serves hookah and has a dance floor. Students from IIT Kgp come here …MoreThis is one of the most happening places of Kharagpur. Even though the food quality is average here, the ambience makes it quite an amazing place to party. The restaurant serves hookah and has a dance floor. Students from IIT Kgp come here quite frequently to chill and party. The DJ is exceptionally good and plays all the latest trending songs.",2 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Arindam Dey,"One of the best restaurant at KHARAGPUR. Chinese, Indian, Tandoor are available here. Food quality is better than others.",2 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Harshit Khardia,Great restaurant with better price and also have small disco,2 weeks ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Nitin Gaikwad,"Popular among the youths for Hookah and the dance floor. A separate section for family (youths can dine there as well). A good selection of delectable starters, both veg and nonveg. Although main course is comprehensive, it fails to impress …MorePopular among the youths for Hookah and the dance floor. A separate section for family (youths can dine there as well). A good selection of delectable starters, both veg and nonveg. Although main course is comprehensive, it fails to impress the taste buds. If you like greasy food then you might enjoy it. Mocktails are mediocre. Limited options for ice-cream enthusiast.",4 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Uday Sekhar Sarkar,Nice place to spent a eve with your near and dear once..,3 weeks ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
Arpit Raj,Hookah smell in non hookah section makes it wrost place for those who dont smoke,a week ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 1.0 out of 5,""><span style=""width:14px""></span></span>"
Amlan Mahapatra,Costly. Chicken items available up to 2pm. You can try bullet chicken. It's spicy.,a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
