Name,Reviews,Date,Ratings
Biswajit Ghosh,Very poor service. Consumable sizes of dishes are not available. Everything should be taken full plate. A full plate is more than sufficient for two persons. A person visiting alone is left with no other option of either packing half of the …MoreVery poor service. Consumable sizes of dishes are not available. Everything should be taken full plate. A full plate is more than sufficient for two persons. A person visiting alone is left with no other option of either packing half of the food or letting it waste. The waiters are busy half of the time watching the television and are not available to cater to the needs of the diners.,4 weeks ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 1.0 out of 5,""><span style=""width:14px""></span></span>"
Ankur Mahajan,Liquor and decent food at reasonable rates. Serves only strong beer. Always crowded and understaffed to accommodate so many guests. Very basic. Nothing fancy. Safe for ladies and families.,3 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 3.0 out of 5,""><span style=""width:42px""></span></span>"
Banti Roy,There vanilla presti and fruit patis are my fevrite but they take  high rate in all item,4 weeks ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 2.0 out of 5,""><span style=""width:28px""></span></span>"
arunav bhuyan,Good in kgp ..however the items are not that fresh ..good option to order cakes for birthday party ..need more stuff..presently there is only one,2 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 3.0 out of 5,""><span style=""width:42px""></span></span>"
Ravi raj,Worst serving that I have ever experienced... First keep some sensible servers then run a bar or a bakery you assholes,3 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 1.0 out of 5,""><span style=""width:14px""></span></span>"
Abhishek Srivastav,Bhai bar na aiyo... Ac ka pata nahi.. Waiters tip k liye order se lahle rine lagte h,4 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 1.0 out of 5,""><span style=""width:14px""></span></span>"
Vishesh Gangal,You can give it a miss unless you are from IIT KGP,2 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 3.0 out of 5,""><span style=""width:42px""></span></span>"
Kaushik Roy,Quality of their pastry is worst. Those are very hard.,2 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 1.0 out of 5,""><span style=""width:14px""></span></span>"
Rohit Kishan Ray,"If you preorder a cake, then it's good.",3 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Manamrit Pusty,Very bad food.dont trust it,a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
sanjay reddy,My friend went there once and never came back. Legend says that he is still being ignored by the waiter.,8 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 3.0 out of 5,""><span style=""width:42px""></span></span>"
Soumendra Kalyan,"Good food quantity, average taste. Cramped up arrangement in a huge space. Crowd is good and the place often stays crowded which leads to improper attention from waiter. The bar cum restaurant serves all kind of liquor (a bit on expensive side).",a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 1.0 out of 5,""><span style=""width:14px""></span></span>"
GAME UNLOCK,Good cakes are made here,a month ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Rajesh Mondal,We will find good quality bread,4 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
akshay kumar,very good quality of cake,2 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Sitanshu Sahoo,Customer orientation is minimal. Waiters do not serve on time also silently overlook for any queries after a order for particular dish is placed. There is nobody who can address customer complains. The hotel treats people as a burden to be overcome anyway.,a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 1.0 out of 5,""><span style=""width:14px""></span></span>"
SUBHABRATA PATRA,Best for cakes in kgp...  U will get same quality as CCD but a lesser price,a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Saikat Roy,"They have a whole lot of options for Cakes, be it veg or non-veg. For large size of cakes or more quantity of snacks, you have to order earlier. Try their Veg Chocolate Cake, Chicken Ghoroa, Veg/ Chicken Puff/ Patis. You will surely love it.",a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
sainaveen samaganam,Decent place with delicious confectionery stuff,5 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 3.0 out of 5,""><span style=""width:42px""></span></span>"
Shuvendu Pusti,Worst service. Food is also pathetic. Waiters are absolutely unprofessional.,a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 1.0 out of 5,""><span style=""width:14px""></span></span>"
Prashanth Prabhakar,The only place for kgpians which offers drinks along with a neat and tidy food option.  Safe and sound place for everyone with a friendly staff,a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Sourav Mukhopadhyay,Good place to buy birthday cake,5 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Heroj Maity,Good Baker and restaurant in Kgp but recent trend quality downward,11 months ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 4.0 out of 5,""><span style=""width:56px""></span></span>"
Tamoghna Kundu,Nice ambience. Good food. Prawn curry is amazing,a year ago,"<span class=""_pxg _Jxg"" aria-label=""Rated 5.0 out of 5,""><span style=""width:70px""></span></span>"
